"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","O.Q.P. CLOSE","O.Q.P. CHANGE","IV%","VOLUME","*CONTRACT HIGH","*CONTRACT LOW","VOLUME","OPEN INTEREST","CHANGE IN OI"
NOV-18,19600,C,0,0,0,0,0,0,0,0,6447,+492,0,0,5324,5324,0,3,0
NOV-18,19700,C,0,0,0,0,0,0,0,0,6347,+492,0,0,0,0,0,0,0
NOV-18,19800,C,0,0,0,0,0,0,0,0,6247,+492,0,0,0,0,0,0,0
NOV-18,19900,C,0,0,0,0,0,0,0,0,6147,+492,0,0,0,0,0,0,0
NOV-18,20000,C,0,0,0,0,0,0,0,0,6047,+492,0,0,0,0,0,0,0
NOV-18,20200,C,0,0,0,0,0,0,0,0,5847,+492,0,0,0,0,0,0,0
NOV-18,20400,C,0,0,0,0,0,0,0,0,5648,+493,42,0,5817,5815,0,4,0
NOV-18,20600,C,0,0,0,0,0,0,0,0,5448,+492,41,0,0,0,0,0,0
NOV-18,20800,C,0,0,0,0,0,0,0,0,5248,+492,39,0,0,0,0,0,0
NOV-18,21000,C,0,0,0,0,0,0,0,0,5048,+491,38,0,0,0,0,0,0
NOV-18,21200,C,0,0,0,0,0,0,0,0,4849,+491,39,0,0,0,0,0,0
NOV-18,21400,C,0,0,0,0,0,0,0,0,4649,+490,37,0,0,0,0,0,0
NOV-18,21600,C,0,0,0,0,0,0,0,0,4450,+489,37,0,0,0,0,0,0
NOV-18,21800,C,0,0,0,0,0,0,0,0,4251,+489,37,0,0,0,0,0,0
NOV-18,22000,C,0,0,0,0,0,0,0,0,4052,+487,36,0,0,0,0,0,0
NOV-18,22200,C,0,0,0,0,0,0,0,0,3853,+485,35,0,0,0,0,0,0
NOV-18,22400,C,0,0,0,0,0,0,0,0,3655,+484,34,0,0,0,0,0,0
NOV-18,22600,C,0,0,0,0,0,0,0,0,3457,+481,34,0,2337,2337,0,5,0
NOV-18,22800,C,0,0,0,0,0,0,0,0,3259,+477,33,0,2177,2177,0,5,0
NOV-18,23000,C,0,0,0,0,0,0,0,0,3063,+474,32,0,4739,1890,0,1009,0
NOV-18,23200,C,0,0,0,0,0,0,0,0,2867,+472,32,0,2638,1863,0,7,0
NOV-18,23400,C,0,0,0,0,0,0,0,0,2673,+468,31,0,1675,1618,0,2,0
NOV-18,23600,C,0,0,0,0,0,0,0,0,2480,+460,31,0,1731,1372,0,8,0
NOV-18,23800,C,0,0,0,0,0,0,0,0,2306,+459,32,0,2288,1250,0,11,0
NOV-18,24000,C,0,0,0,0,0,0,0,0,2106,+437,30,0,2585,1117,0,35,0
NOV-18,24200,C,0,0,0,0,0,0,0,0,1920,+425,29,0,3591,966,0,55,0
NOV-18,24400,C,0,0,0,0,0,1389,1389,1389,1737,+411,29,1,4030,798,1,130,0
NOV-18,24600,C,1330,1330,1300,1300,8,1290,1620,1170,1594,+430,31,23,2240,700,31,353,-4
NOV-18,24800,C,0,0,0,0,0,1118,1338,1028,1384,+375,27,20,2168,599,20,943,-6
NOV-18,25000,C,830,961,830,961,7,975,1270,862,1245,+387,28,36,1888,508,43,4323,-28
NOV-18,25200,C,690,987,690,864,33,822,1113,729,1047,+330,25,51,1617,425,84,1234,-15
NOV-18,25400,C,638,860,620,700,43,784,954,590,900,+308,25,439,2548,338,482,4490,-123
NOV-18,25600,C,462,700,458,592,137,639,799,466,757,+279,24,309,1455,260,446,2821,-71
NOV-18,25800,C,360,573,360,480,124,522,670,366,625,+244,24,737,1215,198,861,1727,-135
NOV-18,26000,C,300,472,297,365,318,420,551,278,500,+207,23,1723,2123,147,2041,3965,-238
NOV-18,26200,C,212,370,209,281,382,315,436,209,399,+175,23,1791,1403,109,2173,3469,-61
NOV-18,26400,C,157,280,157,222,384,239,344,152,304,+137,22,1612,1784,71,1996,2603,+64
NOV-18,26600,C,119,210,111,150,408,181,263,108,233,+111,22,2426,1030,57,2834,3135,+35
NOV-18,26800,C,81,157,81,110,599,129,195,75,173,+86,21,2722,1682,41,3321,2145,-93
NOV-18,27000,C,57,110,56,70,710,91,143,52,125,+64,21,2342,1345,29,3052,4117,+138
NOV-18,27200,C,39,77,39,54,306,67,102,35,88,+46,21,1477,1317,22,1783,2296,+270
NOV-18,27400,C,29,53,29,38,110,46,72,24,62,+35,21,791,1188,16,901,2415,-75
NOV-18,27600,C,19,36,19,27,117,33,50,16,42,+26,21,779,1073,11,896,1979,-28
NOV-18,27800,C,13,25,13,21,100,21,34,11,26,+16,20,760,1003,9,860,2065,-166
NOV-18,28000,C,10,18,10,16,48,15,23,7,16,+10,20,471,1051,7,519,3453,+49
NOV-18,28200,C,7,12,7,12,11,9,15,6,9,+6,20,197,993,5,208,1406,-55
NOV-18,28400,C,7,7,7,7,1,5,10,5,5,+3,19,162,1022,4,163,1517,-14
NOV-18,28600,C,6,6,3,3,2,4,7,4,3,+2,19,142,814,3,144,1487,+39
NOV-18,28800,C,3,5,3,5,6,3,6,3,2,+1,20,62,904,2,68,1071,+24
NOV-18,29000,C,3,3,3,3,1,2,4,2,1,0,20,31,840,2,32,2776,+7
NOV-18,29200,C,0,0,0,0,0,2,3,2,1,0,21,5,512,2,5,523,+2
NOV-18,29400,C,2,2,2,2,1,2,3,2,1,0,22,10,439,1,11,463,+4
NOV-18,29600,C,0,0,0,0,0,0,0,0,1,0,23,0,450,1,0,363,0
