"CONTRACT MONTH","STRIKE PRICE","C/P","*OPENING PRICE","*DAILY HIGH","*DAILY LOW","CLOSE PRICE","VOLUME"
OCT-18,20600,C,0,0,0,0,0
OCT-18,20800,C,0,0,0,0,0
OCT-18,21000,C,0,0,0,0,0
OCT-18,21200,C,0,0,0,0,0
OCT-18,21400,C,0,0,0,0,0
OCT-18,21600,C,0,0,0,0,0
OCT-18,21800,C,0,0,0,0,0
OCT-18,22000,C,0,0,0,0,0
OCT-18,22200,C,0,0,0,0,0
OCT-18,22400,C,0,0,0,0,0
OCT-18,22600,C,0,0,0,0,0
OCT-18,22800,C,0,0,0,0,0
OCT-18,23000,C,0,0,0,0,0
OCT-18,23200,C,0,0,0,0,0
OCT-18,23400,C,0,0,0,0,0
OCT-18,23600,C,0,0,0,0,0
OCT-18,23800,C,0,0,0,0,0
OCT-18,24000,C,0,0,0,0,0
OCT-18,24200,C,1190,1190,1190,1190,6
OCT-18,24400,C,0,0,0,0,0
OCT-18,24600,C,0,0,0,0,0
OCT-18,24800,C,810,860,810,860,9
OCT-18,25000,C,687,930,658,762,50
OCT-18,25200,C,524,783,524,710,97
OCT-18,25400,C,420,660,418,553,232
OCT-18,25600,C,363,540,343,450,291
OCT-18,25800,C,262,430,262,353,161
OCT-18,26000,C,214,332,212,271,271
OCT-18,26200,C,168,258,156,207,263
OCT-18,26400,C,118,192,118,155,239
OCT-18,26600,C,90,140,89,111,420
OCT-18,26800,C,65,100,64,92,457
OCT-18,27000,C,50,70,47,69,538
OCT-18,27200,C,37,50,35,41,158
OCT-18,27400,C,28,36,25,29,202
OCT-18,27600,C,20,27,19,21,140
OCT-18,27800,C,16,20,14,15,59
OCT-18,28000,C,12,15,11,12,60
OCT-18,28200,C,9,11,9,10,57
OCT-18,28400,C,10,10,7,7,32
OCT-18,28600,C,6,6,6,6,7
OCT-18,28800,C,5,5,3,4,11
OCT-18,29000,C,4,4,4,4,6
OCT-18,29200,C,3,4,2,2,22
OCT-18,29400,C,3,3,3,3,3
OCT-18,29600,C,3,3,2,2,13
OCT-18,29800,C,2,2,1,1,4
OCT-18,30000,C,0,0,0,0,0
OCT-18,30200,C,1,1,1,1,3
OCT-18,30400,C,0,0,0,0,0
